real,imag
-274.646,26.6345
261.16,39.7005
-324.973,26.7676
248.36,-9.48914
-248.138,118.115
116.816,-130.881
-80.1131,254.413
-63.5474,-266.14
86.6488,373.798
-193.466,-357.341
163.2,427.879
-209.624,-369.085
122.441,395.78
-124.957,-295.161
13.6703,285.33
-14.7128,-156.528
-77.0129,129.636
40.96,2.73457
-90.584,-18.014
14.7171,122.979
-35.2791,-95.9525
-53.0709,146.442
26.3822,-57.4529
-92.1188,44.9164
32.0961,100.583
-61.9139,-155.32
-27.8737,321.858
14.2148,-371.774
-102.006,506.12
67.5495,-498.774
-119.173,556.96
39.9936,-464.004
-47.1205,438.646
-67.4246,-276.129
79.3837,205.642
-192.858,-29.6419
183.812,-20.0427
-260.618,143.538
206.644,-116.643
-239.2,151.125
150.178,-36.6934
-163.127,-0.88451
72.5018,160.082
-100.141,-207.473
34.8706,339.359
-90.2234,-326.089
45.937,373.167
-107.829,-264.146
51.2402,219.646
-82.2149,-37.8142
-18.7019,-49.0123
36.0145,235.74
-177.204,-288.976
214.678,408.617
-346.321,-371.48
339.76,391.23
-394.43,-259.793
286.195,204.875
-228.488,-29.1916
14.8094,-33.6465
123.094,180.715
-376.003,-183.769
502.045,249.822
-689.61,-163.442
703.022,145.238
-744.83,7.98831
599.429,-66.583
-492.206,229.131
229.457,-266.273
-53.9136,381.462
-218.232,-353.731
343.477,396.89
-514.111,-300.52
502.946,287.481
-523.691,-153.577
372.116,124.308
-282.663,5.54937
66.2733,-14.64
35.3282,114.394
-212.751,-90.3711
234.092,160.252
-306.107,-114.029
216.416,171.281
-191.265,-121.203
34.4426,180.271
17.5504,-133.147
-158.064,191.512
155.298,-136.183
-213.742,176.974
117.001,-95.4514
-86.4449,104.878
-78.8676,7.51768
146.068,-21.5808
-310.281,143.287
339.185,-147.197
-434.402,236.755
374.679,-187.565
-375.231,207.912
228.597,-81.5863
-161.789,27.3091
-24.5486,160.011
99.9647,-251.642
-265.163,445.496
295.161,-509.823
-398.995,644.389
361.28,-624.099
-400.29,659.304
308.15,-537.891
-308,483.605
193.839,-296.049
-187.897,207.156
81.1247,-19.8926
-91.4953,-35.7806
5.47791,163.839
-37.1898,-145.034
-29.5499,196.004
-18.1514,-109.973
-35.8166,113.77
-22.3983,-6.85612
-22.0258,17.3709
-45.8096,58.9445
11.4388,-1.9169
-89.1973,26.4918
63.1715,76.0861
-145.642,-80.8211
118.492,189.616
-192.182,-175.059
147.648,241.496
-195.628,-168.359
118.682,169.991
-130.402,-37.1641
17.0865,-5.13949
3.56917,158.113
-141.381,-192.765
175.544,311.004
-313.982,-289.131
335.456,337.973
-448.937,-244.812
435.525,231.605
-507.451,-95.0255
449.544,63.1298
-477.753,65.5548
380.197,-65.5542
-375.398,144.804
253.185,-86.9743
-232.94,110.219
104.625,-7.78236
-87.2213,5.20928
-30.0449,100.162
29.1094,-82.5113
-121.768,147.925
91.0992,-77.0138
-150.248,84.1894
83.9579,41.0514
-107.436,-76.1646
7.88746,225.374
-3.25892,-262.459
-116.48,390.888
130.957,-386.518
-248.532,457.296
248.313,-385.284
-339.566,385.582
303.814,-247.565
-354.09,193.093
276.612,-17.1629
-289.401,-54.3387
183.207,224.302
-179.366,-266.827
70.1115,386.95
-76.0966,-362.99
-13.2777,406.017
-18.0714,-301.743
-46.0008,269.338
-5.0643,-102.489
-49.3167,27.281
1.00326,157.669
-70.3583,-224.118
